text	labels	0	1	2
3 purple stripes orange body	001	000000000000000000000000000001010010101100000000000000000000000000000000000000	000000000000000000000000000010010010101100000000000000000000000000000000000000	000000000000000000000000000010010010101100000000000000000000000000000000000000
blue trunk	001	000000000000000000000000000000000000000000000000000000000000000110100001001000	000000000000000000000000000000000000000000000000000000000000000110100001000001	000000000000000000000000000000000000000000000000000000000000000110100001100000
purple stem without thorns	001	000000000000000000000000000000000000000001010011001001100100000000000000000000	000000000000000000000000000000000000000001010011001001010100000000000000000000	000000000000000000000000000000000000000001010011001001010100000000000000000000
green leaves red berries	001	000000000000000000000000000000000000000000000000000000000000001010001001100000	000000000000000000000000000000000000000000000000000000000000010010100001100000	000000000000000000000000000000000000000000000000000000000000001010100001100000
3 purple stripes, orange body	001	000000000000000000000000000010010100011100000000000000000000000000000000000000	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000010010100101100000000000000000000000000000000000000
no tail, pink feathers	001	001100101010000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000
no feqthers, orange wing	001	100100101010000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000	100100100110000000000000000000000000000000000000000000000000000000000000000000
white wings, orange legs	001	000000000000101001001100010100000000000000000000000000000000000000000000000000	000000000000101001010100100100000000000000000000000000000000000000000000000000	000000000000101001001100100100000000000000000000000000000000000000000000000000
all purple	001	000000000000000000000000000000000000000000000000000000000000010010001001000001	000000000000000000000000000000000000000000000000000000000000010010000011000100	000000000000000000000000000000000000000000000000000000000000010010001001000100
red trunk, all green top	001	000000000000000000000000000000000000000000000000000000000000010010100001000010	000000000000000000000000000000000000000000000000000000000001000010100001000001	000000000000000000000000000000000000000000000000000000000001000010100001000010
purple and white, no orange	001	000000000000000000000000000000000000000000000000000000000000000110001001001000	000000000000000000000000000000000000000000000000000000000000000110001001000100	000000000000000000000000000000000000000000000000000000000000000110001001000100
orange body, purple antenii	001	000000000000101010010001001100000000000000000000000000000000000000000000000000	000000000001001100010001001100000000000000000000000000000000000000000000000000	000000000000101100010001001100000000000000000000000000000000000000000000000000
orange head, the rest is purple	001	000000000000101010100100010100000000000000000000000000000000000000000000000000	000000000000101010010001010100000000000000000000000000000000000000000000000000	000000000000101010010100010100000000000000000000000000000000000000000000000000
white and orange no purple	001	100001101010000000000000000000000000000000000000000000000000000000000000000000	001001100110000000000000000000000000000000000000000000000000000000000000000000	100001100110000000000000000000000000000000000000000000000000000000000000000000
all orange, no head feathers	001	010100110010000000000000000000000000000000000000000000000000000000000000000000	100100110010000000000000000000000000000000000000000000000000000000000000000000	100100110010000000000000000000000000000000000000000000000000000000000000000000
no wings	001	000000000000011010010100010100000000000000000000000000000000000000000000000000	000000000000011010001100010100000000000000000000000000000000000000000000000000	000000000000011010000100010100000000000000000000000000000000000000000000000000
purple stripes	001	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000000110010101100000000000000000000000000000000000000	000000000000000000000000000000110010101100000000000000000000000000000000000000
purple center, thorns	001	000000000000000000000000000000000000000001000110010011010100000000000000000000	000000000000000000000000000000000000000000100110010011010100000000000000000000	000000000000000000000000000000000000000001000110010011010100000000000000000000
orange head and wings	001	000000000000001100100001001100000000000000000000000000000000000000000000000000	000000000000001100010100001100000000000000000000000000000000000000000000000000	000000000000001100100100001100000000000000000000000000000000000000000000000000
white stripes, no fang	001	000000000000000000000000000001010100011100000000000000000000000000000000000000	000000000000000000000000000001010100101100000000000000000000000000000000000000	000000000000000000000000000001010100011100000000000000000000000000000000000000
white wing and head feathers	001	010100100110000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000	001100100110000000000000000000000000000000000000000000000000000000000000000000
green leaves and purple berries 	001	000000000000000000000000000000000000000000000000000000000000010010100001000010	000000000000000000000000000000000000000000000000000000000000100010100001000010	000000000000000000000000000000000000000000000000000000000000010010100001000010
no wings no antenna	001	000000000001001100000010001100000000000000000000000000000000000000000000000000	000000000000001100010010001100000000000000000000000000000000000000000000000000	000000000000001100000010001100000000000000000000000000000000000000000000000000
orange stem, white petals	001	000000000000000000000000000000000000000001010010010011010100000000000000000000	000000000000000000000000000000000000000001010010100011100100000000000000000000	000000000000000000000000000000000000000001010010010011100100000000000000000000
red leaves	001	000000000000000000000000000000000000000000000000000000000000100010000101010000	000000000000000000000000000000000000000000000000000000000000100010000011010000	000000000000000000000000000000000000000000000000000000000000100010000101010000
red berries	001	000000000000000000000000000000000000000000000000000000000000010010001001100000	000000000000000000000000000000000000000000000000000000000000001010001001100000	000000000000000000000000000000000000000000000000000000000000001010001001100000
orange center, purple petals	001	000000000000000000000000000000000000000000100010100101010100000000000000000000	000000000000000000000000000000000000000010000011000101010100000000000000000000	000000000000000000000000000000000000000010000010100101010100000000000000000000
purple center, orange petals, no thorns	001	000000000000000000000000000000000000000001000010101001001100000000000000000000	000000000000000000000000000000000000000001000011001001001100000000000000000000	000000000000000000000000000000000000000001000011001001001100000000000000000000
orange middle white stem	001	000000000000000000000000000000000000000000101010010011001100000000000000000000	000000000000000000000000000000000000000010001010010011100100000000000000000000	000000000000000000000000000000000000000010001010010011001100000000000000000000
white feathers, white wing	001	001010110010000000000000000000000000000000000000000000000000000000000000000000	100010100110000000000000000000000000000000000000000000000000000000000000000000	001010100110000000000000000000000000000000000000000000000000000000000000000000
white wing purple legs	001	000000000000101001001100001100000000000000000000000000000000000000000000000000	000000000000101001010100010100000000000000000000000000000000000000000000000000	000000000000101001001100010100000000000000000000000000000000000000000000000000
orange antenna and purple head	001	000000000001001001001001001100000000000000000000000000000000000000000000000000	000000000001001001001010010100000000000000000000000000000000000000000000000000	000000000001001001001010001100000000000000000000000000000000000000000000000000
orange antenna purple body	001	000000000001001010000100010100000000000000000000000000000000000000000000000000	000000000001001010000010001100000000000000000000000000000000000000000000000000	000000000001001010000010010100000000000000000000000000000000000000000000000000
orange antenna legs and wings white head	001	000000000001001010100001001100000000000000000000000000000000000000000000000000	000000000001001010100100100100000000000000000000000000000000000000000000000000	000000000001001010100001100100000000000000000000000000000000000000000000000000
orange flower, white stem with things sticking out of it	001	000000000000000000000000000000000000000010001011000001010100000000000000000000	000000000000000000000000000000000000000010001011000001001100000000000000000000	000000000000000000000000000000000000000010001011000001001100000000000000000000
all orange except one white wing	001	001100100110000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000	001100110010000000000000000000000000000000000000000000000000000000000000000000
white feathers purple body	001	100010100110000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000	001010100110000000000000000000000000000000000000000000000000000000000000000000
purple with no whiskers	001	000000000000000000000000000000110100001100000000000000000000000000000000000000	000000000000000000000000000001010100001100000000000000000000000000000000000000	000000000000000000000000000001010100001100000000000000000000000000000000000000
white with purple fin	001	000000000000000000000000000000110101001100000000000000000000000000000000000000	000000000000000000000000000001010100001100000000000000000000000000000000000000	000000000000000000000000000000110100001100000000000000000000000000000000000000
pink stem with purple leaves	001	000000000000000000000000000000000000000000000000000000000000000010001001001000	000000000000000000000000000000000000000000000000000000000000100010001001000010	000000000000000000000000000000000000000000000000000000000000000010001001000010
purple body orange stripes and whiskers	001	000000000000000000000000000001011001001100000000000000000000000000000000000000	000000000000000000000000000001011000011100000000000000000000000000000000000000	000000000000000000000000000001011001001100000000000000000000000000000000000000
orange stripes purple body	001	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000010011001001100000000000000000000000000000000000000	000000000000000000000000000001011001001100000000000000000000000000000000000000
white stem and purple leaves	001	000000000000000000000000000000000000000000000000000000000000000010001001001000	000000000000000000000000000000000000000000000000000000000000000011000001000001	000000000000000000000000000000000000000000000000000000000000000010001001000001
purple body back fin orange and little fin no whiskers top fin is orange and the little one	001	000000000000000000000000000001011000001100000000000000000000000000000000000000	000000000000000000000000000001011000011100000000000000000000000000000000000000	000000000000000000000000000001011000001100000000000000000000000000000000000000
white stem with things sticking out 	001	000000000000000000000000000000000000000001010010101001100100000000000000000000	000000000000000000000000000000000000000001010010101001001100000000000000000000	000000000000000000000000000000000000000001010010101001001100000000000000000000
orange stem white flower	001	000000000000000000000000000000000000000001001010010101010100000000000000000000	000000000000000000000000000000000000000001001011000101100100000000000000000000	000000000000000000000000000000000000000001001010010101100100000000000000000000
blue leaves with red balls	001	000000000000000000000000000000000000000000000000000000000000001010000011010000	000000000000000000000000000000000000000000000000000000000000100011000001010000	000000000000000000000000000000000000000000000000000000000000001011000001010000
purple body orange stripes with whiskers	001	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000001010100011100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000
purple body all white feathers	001	100010100110000000000000000000000000000000000000000000000000000000000000000000	010010100110000000000000000000000000000000000000000000000000000000000000000000	001010100110000000000000000000000000000000000000000000000000000000000000000000
white body red stem and leaves no balls	001	000000000000000000000000000000000000000000000000000000000000000010100001000010	000000000000000000000000000000000000000000000000000000000000001010000101000010	000000000000000000000000000000000000000000000000000000000000000010000101000010
purple flower with purple middle	001	000000000000000000000000000000000000000000100010100011010100000000000000000000	000000000000000000000000000000000000000010000010100011010100000000000000000000	000000000000000000000000000000000000000001000010100011010100000000000000000000
orange head all purple body	001	000000000000001010000001010100000000000000000000000000000000000000000000000000	000000000000001010000100001100000000000000000000000000000000000000000000000000	000000000000001010000100010100000000000000000000000000000000000000000000000000
purple leave white balls	001	000000000000000000000000000000000000000000000000000000000000100010001001000100	000000000000000000000000000000000000000000000000000000000000000110010001000100	000000000000000000000000000000000000000000000000000000000000000110001001000100
all purple body and wing with white lower feather 	001	001010100110000000000000000000000000000000000000000000000000000000000000000000	010010100110000000000000000000000000000000000000000000000000000000000000000000	010010100110000000000000000000000000000000000000000000000000000000000000000000
red stem red leaves purple balls	001	000000000000000000000000000000000000000000000000000000000000010010000101000010	000000000000000000000000000000000000000000000000000000000000010010000101000001	000000000000000000000000000000000000000000000000000000000000010010000101000010
purple flower with purple middle white stem	001	000000000000000000000000000000000000000001001010100011100100000000000000000000	000000000000000000000000000000000000000001001010010011001100000000000000000000	000000000000000000000000000000000000000001001010100011001100000000000000000000
purple middle of flower	001	000000000000000000000000000000000000000010010010101001010100000000000000000000	000000000000000000000000000000000000000000110010101001010100000000000000000000	000000000000000000000000000000000000000001010010101001010100000000000000000000
all purple body white wing and white lower feathers	001	010010100110000000000000000000000000000000000000000000000000000000000000000000	001010101010000000000000000000000000000000000000000000000000000000000000000000	001010100110000000000000000000000000000000000000000000000000000000000000000000
green leaves purple stem and balls	001	000000000000000000000000000000000000000000000000000000000000010010001001000100	000000000000000000000000000000000000000000000000000000000000010010100001001000	000000000000000000000000000000000000000000000000000000000000010010100001000100
orange leaves and balls blue stem	001	000000000000000000000000000000000000000000000000000000000000100010010001000001	000000000000000000000000000000000000000000000000000000000000001010010001100000	000000000000000000000000000000000000000000000000000000000000100010010001100000
orange flower white middle	001	000000000000000000000000000000000000000001000011000011001100000000000000000000	000000000000000000000000000000000000000000100010100011001100000000000000000000	000000000000000000000000000000000000000000100011000011001100000000000000000000
purple flower white stem	001	000000000000000000000000000000000000000010010010100101010100000000000000000000	000000000000000000000000000000000000000010010010010101001100000000000000000000	000000000000000000000000000000000000000010010010100101001100000000000000000000
orange body top and little fin purple no stripes	001	000000000000000000000000000000110100001100000000000000000000000000000000000000	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000010010100001100000000000000000000000000000000000000
all white	001	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000010010010001100000000000000000000000000000000000000	000000000000000000000000000000110010001100000000000000000000000000000000000000
orange body white stripes	001	000000000000000000000000000000110010011100000000000000000000000000000000000000	000000000000000000000000000010010011001100000000000000000000000000000000000000	000000000000000000000000000010010010011100000000000000000000000000000000000000
white head no antenna purple wings orange legs	001	000000000001001010010001100100000000000000000000000000000000000000000000000000	000000000000001010100001100100000000000000000000000000000000000000000000000000	000000000000001010010001100100000000000000000000000000000000000000000000000000
orange legs and antenna white wings purple head 	001	000000000000011010001010100100000000000000000000000000000000000000000000000000	000000000001001010001010100100000000000000000000000000000000000000000000000000	000000000001001010001010100100000000000000000000000000000000000000000000000000
The center is orange and the leaves are gray	001	000000000000000000000000000000000000000010000011000011010100000000000000000000	000000000000000000000000000000000000000001000010010011010100000000000000000000	000000000000000000000000000000000000000010000010010011010100000000000000000000
the stem is pink and the leaves are gray, pink and white	001	000000000000000000000000000000000000000001000110010101100100000000000000000000	000000000000000000000000000000000000000001000111000101010100000000000000000000	000000000000000000000000000000000000000001000110010101010100000000000000000000
it is NOT the one with the extra feathers, it DOES have all while feathers 	001	001100100110000000000000000000000000000000000000000000000000000000000000000000	100100100110000000000000000000000000000000000000000000000000000000000000000000	001100100110000000000000000000000000000000000000000000000000000000000000000000
its head is pink, it does NOT have wings, just an orange body	001	000000000000011100010010100100000000000000000000000000000000000000000000000000	000000000000011100000100100100000000000000000000000000000000000000000000000000	000000000000011100000010100100000000000000000000000000000000000000000000000000
it does not have orange stripes or black lines on its body and tail its body and tail are solid pink	001	000000000000000000000000000001010100101100000000000000000000000000000000000000	000000000000000000000000000001010101001100000000000000000000000000000000000000	000000000000000000000000000001010100001100000000000000000000000000000000000000
it has 5 orange feathers on th bottom and a large white feather above them	001	001010100110000000000000000000000000000000000000000000000000000000000000000000	100010110010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000
it has red flowers, but no orange buds	001	000000000000000000000000000000000000000000000000000000000001000010000101010000	000000000000000000000000000000000000000000000000000000000000100010000101010000	000000000000000000000000000000000000000000000000000000000001000010000101010000
the stem is pink and the buds are white	001	000000000000000000000000000000000000000000000000000000000000000110100001001000	000000000000000000000000000000000000000000000000000000000000100010100001000100	000000000000000000000000000000000000000000000000000000000000000110100001000100
it is one of the orange fish, but they look exactly the same to me if one looks a bit larger, try that one!	001	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000000110101001100000000000000000000000000000000000000	000000000000000000000000000010010101001100000000000000000000000000000000000000
it has a red stem, and pink buds	001	000000000000000000000000000000000000000000000000000000000000010010000101000010	000000000000000000000000000000000000000000000000000000000000010010000101000001	000000000000000000000000000000000000000000000000000000000000010010000101000010
it has striped body and tail and lines coming from its face	001	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000001011000101100000000000000000000000000000000000000	000000000000000000000000000001011000101100000000000000000000000000000000000000
it is an orange flower but does NOT have thorns	001	000000000000000000000000000000000000000001000011001001001100000000000000000000	000000000000000000000000000000000000000001000010101001001100000000000000000000	000000000000000000000000000000000000000001000011001001001100000000000000000000
it has an orange stem, and pink flower	001	000000000000000000000000000000000000000001001010101001010100000000000000000000	000000000000000000000000000000000000000001001011001001100100000000000000000000	000000000000000000000000000000000000000001001010101001100100000000000000000000
orange body, pink stripes	001	000000000000000000000000000000111000101100000000000000000000000000000000000000	000000000000000000000000000010011000011100000000000000000000000000000000000000	000000000000000000000000000010011000101100000000000000000000000000000000000000
white stem, flower ALL orange	001	000000000000000000000000000000000000000000100011000011001100000000000000000000	000000000000000000000000000000000000000010000011000011100100000000000000000000	000000000000000000000000000000000000000010000011000011001100000000000000000000
white stem, orange flower	001	000000000000000000000000000000000000000010010011001001100100000000000000000000	000000000000000000000000000000000000000010010010101001001100000000000000000000	000000000000000000000000000000000000000010010011001001001100000000000000000000
red flowers, pink buds	001	000000000000000000000000000000000000000000000000000000000000010010000011100000	000000000000000000000000000000000000000000000000000000000000100010000101100000	000000000000000000000000000000000000000000000000000000000000010010000101100000
has 1 orange feather, but no other feathers	001	100001110010000000000000000000000000000000000000000000000000000000000000000000	100001100110000000000000000000000000000000000000000000000000000000000000000000	100001110010000000000000000000000000000000000000000000000000000000000000000000
orange wings, white underneath	001	000000000001001010100010100100000000000000000000000000000000000000000000000000	000000000001001001010010100100000000000000000000000000000000000000000000000000	000000000001001001100010100100000000000000000000000000000000000000000000000000
pink arms, no antenna on head	001	000000000000001010000100001100000000000000000000000000000000000000000000000000	000000000001001010000100010100000000000000000000000000000000000000000000000000	000000000000001010000100010100000000000000000000000000000000000000000000000000
1 orange feather and lots of pink feathers	001	001001101010000000000000000000000000000000000000000000000000000000000000000000	100001110010000000000000000000000000000000000000000000000000000000000000000000	100001101010000000000000000000000000000000000000000000000000000000000000000000
all purple 	001	000000000000000000000000000000000000000000101010100001010100000000000000000000	000000000000000000000000000000000000000001001010100001100100000000000000000000	000000000000000000000000000000000000000001001010100001010100000000000000000000
1 white feather, pink feathers below	001	100010101010000000000000000000000000000000000000000000000000000000000000000000	001010101010000000000000000000000000000000000000000000000000000000000000000000	001010101010000000000000000000000000000000000000000000000000000000000000000000
orange body, has antenna	001	000000000000011010001010001100000000000000000000000000000000000000000000000000	000000000000011100001010001100000000000000000000000000000000000000000000000000	000000000000011100001010001100000000000000000000000000000000000000000000000000
orange wings, white legs	001	000000000000011010010010001100000000000000000000000000000000000000000000000000	000000000000011010100010010100000000000000000000000000000000000000000000000000	000000000000011010100010001100000000000000000000000000000000000000000000000000
pink flowers, red buds	001	000000000000000000000000000000000000000000000000000000000000001010001001100000	000000000000000000000000000000000000000000000000000000000000010010001001100000	000000000000000000000000000000000000000000000000000000000000001010001001100000
pink head, pink legs	001	000000000001001001000010001100000000000000000000000000000000000000000000000000	000000000001001001000001010100000000000000000000000000000000000000000000000000	000000000001001001000010010100000000000000000000000000000000000000000000000000
has wings and atenna	001	000000000001001001001010001100000000000000000000000000000000000000000000000000	000000000001001001001010001100000000000000000000000000000000000000000000000000	000000000001001001001010001100000000000000000000000000000000000000000000000000
white stripes	001	000000000000000000000000000010010100101100000000000000000000000000000000000000	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000010010100011100000000000000000000000000000000000000
orange fish, pink stripes	001	000000000000000000000000000010010101001100000000000000000000000000000000000000	000000000000000000000000000000110100101100000000000000000000000000000000000000	000000000000000000000000000010010100101100000000000000000000000000000000000000
The one with white heat and 8 legs white head	001	000000000000011001001001100100000000000000000000000000000000000000000000000000	000000000000011001001100100100000000000000000000000000000000000000000000000000	000000000000011001001001100100000000000000000000000000000000000000000000000000
Purple feathers	001	010100100110000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000	010100101010000000000000000000000000000000000000000000000000000000000000000000
orange berries on the tree with no leaves	001	000000000000000000000000000000000000000000000000000000000000001010000001100000	000000000000000000000000000000000000000000000000000000000000100010000011100000	000000000000000000000000000000000000000000000000000000000000100010000001100000
fish with purple stripes and a long fang coming out of the mouth	001	000000000000000000000000000000111000101100000000000000000000000000000000000000	000000000000000000000000000000111001001100000000000000000000000000000000000000	000000000000000000000000000000111000101100000000000000000000000000000000000000
White antena on white head	001	000000000000011010000001010100000000000000000000000000000000000000000000000000	000000000001001010000001010100000000000000000000000000000000000000000000000000	000000000000011010000001010100000000000000000000000000000000000000000000000000
orange antena with white legs 	001	000000000000011100000100001100000000000000000000000000000000000000000000000000	000000000001001100000100010100000000000000000000000000000000000000000000000000	000000000001001100000100001100000000000000000000000000000000000000000000000000
bald head 	001	010001101010000000000000000000000000000000000000000000000000000000000000000000	010001100110000000000000000000000000000000000000000000000000000000000000000000	010001110010000000000000000000000000000000000000000000000000000000000000000000
purple trund blue berries trunk	001	000000000000000000000000000000000000000000000000000000000010000010000001000001	000000000000000000000000000000000000000000000000000000000000100010000001000100	000000000000000000000000000000000000000000000000000000000010000010000001000100
purple head, white legs	001	000000000000101001010010010100000000000000000000000000000000000000000000000000	000000000000101001010100001100000000000000000000000000000000000000000000000000	000000000000101001010010001100000000000000000000000000000000000000000000000000
white fish	001	000000000000000000000000000010011000011100000000000000000000000000000000000000	000000000000000000000000000001011000011100000000000000000000000000000000000000	000000000000000000000000000000111000011100000000000000000000000000000000000000
white head feathers and purple wing	001	001100100110000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000
orange trunk	001	000000000000000000000000000000000000000000000000000000000001000010000011000001	000000000000000000000000000000000000000000000000000000000001000010000011000100	000000000000000000000000000000000000000000000000000000000001000010000011001000
white wing	001	100010110010000000000000000000000000000000000000000000000000000000000000000000	010010110010000000000000000000000000000000000000000000000000000000000000000000	001010110010000000000000000000000000000000000000000000000000000000000000000000
purple head 	001	000000000000011001010100010100000000000000000000000000000000000000000000000000	000000000000011001010001010100000000000000000000000000000000000000000000000000	000000000000011001010010010100000000000000000000000000000000000000000000000000
Purple stem Orange middle dot and purple spikes on stem	001	000000000000000000000000000000000000000010000110011001010100000000000000000000	000000000000000000000000000000000000000000100110011001010100000000000000000000	000000000000000000000000000000000000000010000110011001010100000000000000000000
Purple fish NO lines on the fish	001	000000000000000000000000000010010010001100000000000000000000000000000000000000	000000000000000000000000000001010010101100000000000000000000000000000000000000	000000000000000000000000000001010010001100000000000000000000000000000000000000
orange dots on flower with orange middle dot 	001	000000000000000000000000000000000000000010010010101001100100000000000000000000	000000000000000000000000000000000000000001010010011001100100000000000000000000	000000000000000000000000000000000000000010010010011001100100000000000000000000
orange fish no lines on fish	001	000000000000000000000000000010010011001100000000000000000000000000000000000000	000000000000000000000000000000110010001100000000000000000000000000000000000000	000000000000000000000000000010010010001100000000000000000000000000000000000000
white wing, no tail feathers	001	001100100110000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000	001100100110000000000000000000000000000000000000000000000000000000000000000000
purple head with while legs	001	000000000000101010010001001100000000000000000000000000000000000000000000000000	000000000000101010010010010100000000000000000000000000000000000000000000000000	000000000000101010010010001100000000000000000000000000000000000000000000000000
bald head white wing no tail feathers	001	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100110010000000000000000000000000000000000000000000000000000000000000000000	001100101010000000000000000000000000000000000000000000000000000000000000000000
orange legs with white antena	001	000000000000011001010001100100000000000000000000000000000000000000000000000000	000000000000011001010001001100000000000000000000000000000000000000000000000000	000000000000011001010001100100000000000000000000000000000000000000000000000000
orange fish no line or no stripes	001	000000000000000000000000000000110010001100000000000000000000000000000000000000	000000000000000000000000000010010010011100000000000000000000000000000000000000	000000000000000000000000000010010010001100000000000000000000000000000000000000
purple bug, purple legs, purple wing no antena	001	000000000001001010010100010100000000000000000000000000000000000000000000000000	000000000000001010100100010100000000000000000000000000000000000000000000000000	000000000000001010010100010100000000000000000000000000000000000000000000000000
white flower, purple stem	001	000000000000000000000000000000000000000000101010010011100100000000000000000000	000000000000000000000000000000000000000000101010100011010100000000000000000000	000000000000000000000000000000000000000000101010010011010100000000000000000000
green trunk, no leaves, purple dots	001	000000000000000000000000000000000000000000000000000000000000100010000001010000	000000000000000000000000000000000000000000000000000000000000010010100001010000	000000000000000000000000000000000000000000000000000000000000010010000001010000
White stem, purple dot on orange flower no spikes on stem	001	000000000000000000000000000000000000000001000111001001001100000000000000000000	000000000000000000000000000000000000000010000111001001001100000000000000000000	000000000000000000000000000000000000000001000111001001001100000000000000000000
White bug with orange antena	001	000000000001001001100010001100000000000000000000000000000000000000000000000000	000000000001001001001010001100000000000000000000000000000000000000000000000000	000000000001001001001010001100000000000000000000000000000000000000000000000000
white bug with orange3 antena	001	000000000001001010000100001100000000000000000000000000000000000000000000000000	000000000001001001000100001100000000000000000000000000000000000000000000000000	000000000001001001000100001100000000000000000000000000000000000000000000000000
purple wing no tail feathers	001	100100100110000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000	010100100110000000000000000000000000000000000000000000000000000000000000000000
red trunk, green berries	001	000000000000000000000000000000000000000000000000000000000000100010000001000010	000000000000000000000000000000000000000000000000000000000001000010000001001000	000000000000000000000000000000000000000000000000000000000001000010000001000010
white flower white dot in middle	001	000000000000000000000000000000000000000001010010010101010100000000000000000000	000000000000000000000000000000000000000010010010010101010100000000000000000000	000000000000000000000000000000000000000000110010010101010100000000000000000000
green leaves	001	000000000000000000000000000000000000000000000000000000000010000010000011000001	000000000000000000000000000000000000000000000000000000000010000010100001000001	000000000000000000000000000000000000000000000000000000000010000010100001000001
pink trunk green leaves	001	000000000000000000000000000000000000000000000000000000000000010010100001000001	000000000000000000000000000000000000000000000000000000000000010010001001000100	000000000000000000000000000000000000000000000000000000000000010010100001000100
Purple flower with orange stem	001	000000000000000000000000000000000000000010010010100011010100000000000000000000	000000000000000000000000000000000000000010010010010011100100000000000000000000	000000000000000000000000000000000000000010010010100011100100000000000000000000
Orange fish no wiskers	001	000000000000000000000000000010010011001100000000000000000000000000000000000000	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000010010011001100000000000000000000000000000000000000
white flower orange dot in middle	001	000000000000000000000000000000000000000000110010011001001100000000000000000000	000000000000000000000000000000000000000010010010101001001100000000000000000000	000000000000000000000000000000000000000010010010011001001100000000000000000000
purple stripes NO wiskers	001	000000000000000000000000000010011000101100000000000000000000000000000000000000	000000000000000000000000000010011000011100000000000000000000000000000000000000	000000000000000000000000000010011000101100000000000000000000000000000000000000
pink trunk	001	000000000000000000000000000000000000000000000000000000000010000010000011000001	000000000000000000000000000000000000000000000000000000000010000010000011001000	000000000000000000000000000000000000000000000000000000000010000010000011000010
hi there is a tree with green and purple and orange more pink	001	000000000000000000000000000000000000000000000000000000000001000010001001000001	000000000000000000000000000000000000000000000000000000000000100010001001001000	000000000000000000000000000000000000000000000000000000000001000010001001001000
a ll orange flower all yes	001	000000000000000000000000000000000000000001010010101001100100000000000000000000	000000000000000000000000000000000000000001010011001001010100000000000000000000	000000000000000000000000000000000000000001010011001001100100000000000000000000
tree with blue and orange and no leafs	001	000000000000000000000000000000000000000000000000000000000000010010000001001000	000000000000000000000000000000000000000000000000000000000010000010001001001000	000000000000000000000000000000000000000000000000000000000010000010000001001000
simple fish with no model on it or color	001	000000000000000000000000000000110011001100000000000000000000000000000000000000	000000000000000000000000000000110010011100000000000000000000000000000000000000	000000000000000000000000000000110010001100000000000000000000000000000000000000
no teeth with model and orange white	001	000000000000000000000000000000111000101100000000000000000000000000000000000000	000000000000000000000000000000111000011100000000000000000000000000000000000000	000000000000000000000000000000111000011100000000000000000000000000000000000000
blue green and white	001	000000000000000000000000000000000000000000000000000000000000000110000011100000	000000000000000000000000000000000000000000000000000000000000000110001001100000	000000000000000000000000000000000000000000000000000000000000000110100001100000
all orange and little yellow	001	001100110010000000000000000000000000000000000000000000000000000000000000000000	010100110010000000000000000000000000000000000000000000000000000000000000000000	100100110010000000000000000000000000000000000000000000000000000000000000000000
white orange and pink, the wings are white	001	000000000000101100100100001100000000000000000000000000000000000000000000000000	000000000000101100001100001100000000000000000000000000000000000000000000000000	000000000000101100001100001100000000000000000000000000000000000000000000000000
all pink, with pink stripes	001	000000000000000000000000000001010010011100000000000000000000000000000000000000	000000000000000000000000000001010011001100000000000000000000000000000000000000	000000000000000000000000000001010010101100000000000000000000000000000000000000
the inside of the flower  has the middle white and the petals with grey white and round orange	001	000000000000000000000000000000000000000010001010011001100100000000000000000000	000000000000000000000000000000000000000000101010101001100100000000000000000000	000000000000000000000000000000000000000000101010011001100100000000000000000000
has pink on the petals and the middle is orange, the rest is all white	001	000000000000000000000000000000000000000010000010010101010100000000000000000000	000000000000000000000000000000000000000000100010010101001100000000000000000000	000000000000000000000000000000000000000010000010010101001100000000000000000000
white stem, purple petal	001	000000000000000000000000000000000000000010001010010001001100000000000000000000	000000000000000000000000000000000000000010001010100001010100000000000000000000	000000000000000000000000000000000000000010001010100001001100000000000000000000
